timestamp,session_id,device_id,event_type,key,interval_ms
1777215234.4617848,session_20260426_155203_77a4c6,device_369185de,key_press,backspace,167.23
1777215234.588992,session_20260426_155203_77a4c6,device_369185de,key_release,backspace,0.0
1777215234.6294048,session_20260426_155203_77a4c6,device_369185de,key_press,space,167.62
1777215234.7499585,session_20260426_155203_77a4c6,device_369185de,key_release,space,0.0
1777215234.8612974,session_20260426_155203_77a4c6,device_369185de,key_press,shift_r,231.89
1777215234.9731572,session_20260426_155203_77a4c6,device_369185de,key_press,A,111.86
1777215235.0697832,session_20260426_155203_77a4c6,device_369185de,key_release,shift_r,0.0
1777215235.0727725,session_20260426_155203_77a4c6,device_369185de,key_release,a,0.0
1777215235.0744402,session_20260426_155203_77a4c6,device_369185de,key_press,t,101.28
1777215235.142313,session_20260426_155203_77a4c6,device_369185de,key_release,t,0.0
1777215235.5008411,session_20260426_155203_77a4c6,device_369185de,key_press,backspace,426.4
1777215235.6065183,session_20260426_155203_77a4c6,device_369185de,key_release,backspace,0.0
1777215235.7019122,session_20260426_155203_77a4c6,device_369185de,key_press,u,201.07
1777215235.7340922,session_20260426_155203_77a4c6,device_369185de,key_press,t,32.18
1777215235.7782114,session_20260426_155203_77a4c6,device_369185de,key_release,u,0.0
1777215235.8143704,session_20260426_155203_77a4c6,device_369185de,key_release,t,0.0
1777215235.8943117,session_20260426_155203_77a4c6,device_369185de,key_press,r,160.22
1777215235.95069,session_20260426_155203_77a4c6,device_369185de,key_press,i,56.38
1777215236.015796,session_20260426_155203_77a4c6,device_369185de,key_release,r,0.0
1777215236.0769584,session_20260426_155203_77a4c6,device_369185de,key_release,i,0.0
1777215236.1668043,session_20260426_155203_77a4c6,device_369185de,key_press,c,216.11
1777215236.1902378,session_20260426_155203_77a4c6,device_369185de,key_press,h,23.43
1777215236.2696397,session_20260426_155203_77a4c6,device_369185de,key_release,c,0.0
1777215236.3015673,session_20260426_155203_77a4c6,device_369185de,key_release,h,0.0
1777215236.3424299,session_20260426_155203_77a4c6,device_369185de,key_press,e,152.19
1777215236.4547632,session_20260426_155203_77a4c6,device_369185de,key_release,e,0.0
1777215236.5727577,session_20260426_155203_77a4c6,device_369185de,key_press,shift,230.33
1777215236.6708279,session_20260426_155203_77a4c6,device_369185de,key_press,.,98.07
1777215236.7810905,session_20260426_155203_77a4c6,device_369185de,key_release,.,0.0
1777215236.8144488,session_20260426_155203_77a4c6,device_369185de,key_release,shift,0.0
1777215236.8186734,session_20260426_155203_77a4c6,device_369185de,key_press,space,147.85
1777215236.949686,session_20260426_155203_77a4c6,device_369185de,key_release,space,0.0
1777215237.0058646,session_20260426_155203_77a4c6,device_369185de,key_press,shift,187.19
1777215237.086533,session_20260426_155203_77a4c6,device_369185de,key_press,U,80.67
1777215237.15942,session_20260426_155203_77a4c6,device_369185de,key_release,U,0.0
1777215237.261846,session_20260426_155203_77a4c6,device_369185de,key_release,shift,0.0
1777215237.270655,session_20260426_155203_77a4c6,device_369185de,key_press,n,184.12
1777215237.3342254,session_20260426_155203_77a4c6,device_369185de,key_release,n,0.0
1777215237.4211013,session_20260426_155203_77a4c6,device_369185de,key_press,space,150.45
1777215237.5967064,session_20260426_155203_77a4c6,device_369185de,key_release,space,0.0
1777215237.6697786,session_20260426_155203_77a4c6,device_369185de,key_press,b,248.68
1777215237.7580292,session_20260426_155203_77a4c6,device_369185de,key_press,o,88.25
1777215237.838035,session_20260426_155203_77a4c6,device_369185de,key_release,b,0.0
